1,1,pqm,6,Practice Quality - Mindfulness,1,pollq.php?pollid=1
2,1,statemnd,5,State Mindfulness Awareness Attention Scale,1,pollq.php?pollid=2
3,1,stress,1,Stress,1,pollq.php?pollid=3
4,1,sleep,1,Sleep,1,pollq.php?pollid=4
5,1,diet,1,Diet,1,pollq.php?pollid=5
6,1,relation,1,Relationships,1,pollq.php?pollid=6
7,1,busy,1,Business,1,pollq.php?pollid=7
8,1,physical,1,Physical Activity,1,pollq.php?pollid=8
9,1,dpanas,14,Positive and Negative Sffect Scale,1,pollq.php?pollid=9
10,1,value,8,Valuing Questionnaire - Short Form,1,pollq.php?pollid=10
11,1,pss,10,Perceived Stress Scale,1,pollq.php?pollid=11
12,1,wellness,6,Wellness Score,1,pollq.php?pollid=12
13,1,mlww,0,MLWW mEMA Sample External Poll,0,http://www.surveygizmo.com/s3/1150341/MLWW
14,1,mlww2,0,MLWW Sample 2,0,http://www.surveygizmo.com/s3/1150341/MLWW
15,1,gas11,1,GAS11 Goal Attainment Scale Poll,1,pollq.php?pollid=15
16,1,gas12,1,GAS12 Goal Attainment Scale Poll,1,pollq.php?pollid=16
17,1,gas31,1,GAS31 Goal Attainment Scale Poll,1,pollq.php?pollid=17
18,1,gas21,1,GAS21 Goal Attainment Scale Poll,1,pollq.php?pollid=18
