13,1,4,2013-12-27,ruleAverageStepCount,2013-12-23,Nudge says that you averaged 4061.4 steps per day over the last 10 days,0,0,NULL
14,1,4,2013-12-27,ruleHighStepCount,2013-12-23,"Nudge says that you exceeded 10,000 steps 2 times in the past 20 days",0,0,NULL
15,1,4,2013-12-27,ruleOutputLowSteps,2013-12-18,"Nudge says you were below 5,000 steps on Wed 18 Dec 2013",0,0,NULL
16,1,4,2013-12-27,ruleOutputZeroSteps,2013-12-21,Nudge says that no steps were recorded on Sat 21 Dec 2013,0,0,NULL
17,1,4,2013-12-27,ruleOutputZeroSteps,2013-12-22,Nudge says that no steps were recorded on Sun 22 Dec 2013,0,0,NULL
18,1,4,2013-12-27,ruleOutputZeroSteps,2013-12-23,Nudge says that no steps were recorded on Mon 23 Dec 2013,0,0,NULL
19,1,4,2013-12-27,ruleOutputZeroSteps,2013-12-20,Nudge says that no steps were recorded on Fri 20 Dec 2013,0,0,NULL
20,1,4,2013-12-27,ruleOutputZeroSteps,2013-12-19,Nudge says that no steps were recorded on Thu 19 Dec 2013,0,0,NULL
21,1,4,2013-12-27,ruleZeroStepCount,2013-12-23,Nudge says that you recorded no steps 5 times in the last 15 days,0,0,NULL
22,1,4,2013-12-28,ruleNewContent,2013-12-28,Article on meditation benefits to decision making for business.,0,0,programurl.php?urltype=link 
